처분일자,교부번호,업소명,소재지도로명,소재지지번,지도점검일자,처분명,법적근거,위반내용
20220617,20220084282,벙커(BUNKER),"서울특별시 마포구 어울마당로 57, 지하1층 (서교동)",서울특별시 마포구 서교동  405번지 14호  ,20220331,영업정지 2개월,법 제71조 및 법 제75조,일반음식점에서 손님이 춤을 추는 것 허용
20220620,20180070623,디.엘(Delivery Lab),"서울특별시 마포구 와우산로29길 4-30, 1층 일부 (서교동)",서울특별시 마포구 서교동  327번지 30호  ,20220106,과태료부과,법 제101조제2항제1호,조리장 위생불량.
20230206,20220086136,호돌이 호프,"서울특별시 마포구 월드컵북로2길 80, 3층 (동교동)",서울특별시 마포구 동교동  155번지 19호  ,20230105,시정명령(1차),"법 제71조, 법 제74조 및 법 제75조",영업장외영업
20230306,20090069760,더파이브올스,"서울특별시 마포구 와우산로29길 26-5, (서교동, 지하1층)",서울특별시 마포구 서교동  328번지 49호  ,20221112,영업정지 30일(2023.3.20.~2023.4.18.),법 제75조 제3항,청소년 주류제공(1차)
20230329,20180071085,이억만 껍데기,"서울특별시 마포구 동교로 255, 1층 (연남동)",서울특별시 마포구 연남동  229번지 59호  1층,20230214,시정명령,"법 제71조, 법 제74조 및 법 제75조",영업장변경 미신고 1차
20230510,20170069431,라화쿵부 홍대점,"서울특별시 마포구 어울마당로 102, 2층 (서교동)",서울특별시 마포구 서교동  358번지 72호  ,20220821,영업정지 1개월,법 제75조,청소년 주류제공
20230511,20150070583,국빈,"서울특별시 마포구 효창목4길 22-10, 1층 (공덕동)",서울특별시 마포구 공덕동  111번지 59호  1층,20230421,시정명령,"법 제71조, 법 제72조, 법 제75조 및 법 제76조",이물혼입1차
20230608,20220085288,타이프(TYPE),"서울특별시 마포구 토정로 128, 서강8경빌딩 5층 (상수동)",서울특별시 마포구 상수동  356번지 6호  서강8경빌딩,20230425,"영업정지 1개월 갈음 과징금 1,170만원 부과",법 제14조부터 제 17조까지,무표시제품 보관 및 사용
20240131,20220085555,온클럽(ON club),"서울특별시 마포구 잔다리로 3, 지하1층 (서교동)",서울특별시 마포구 서교동  407번지 7호  ,20230630,영업정지 3일 갈음 과징금부과(117만원),법 제75조,청소년주류제공(1차)
20240131,20200070479,무인 홍대,"서울특별시 마포구 와우산로17길 5, 밤사빌딩 지하1층 (서교동)",서울특별시 마포구 서교동  410번지 1호  밤사빌딩,20231029,시정명령,법 제71조,서울특별시 마포구 객석에서 춤을 추는 행위가 허용되는 일반음식점의 운영에 관한 조례 위반 (춤 허용업소 영업장 내 입장인원 제한 위반)
20240131,20220085889,흥에 취한 범(홍대),"서울특별시 마포구 와우산로 67, 지하1층, 지하2층 (서교동)",서울특별시 마포구 서교동  407번지 1호  ,20231221,시설개수명령,법 제74조,폐기물용기 뚜껑 미설치(1차)
20240214,20200070999,좋은압빠,"서울특별시 마포구 망원로4길 3, 1층 (망원동)",서울특별시 마포구 망원동  416번지 14호  ,20240213,직권말소,법 제37조 7항,2023.10.30.사업자등록폐업
20240214,20120070084,소곱놀이,"서울특별시 마포구 양화로6길 91, (서교동, 1층 일부)",서울특별시 마포구 서교동  401번지 17호  ,20240213,직권말소,법 제37조 7항,2022.8.18.사업자등록폐업
20240214,20190069036,퀸카롱,"서울특별시 마포구 월드컵북로 434, 상암 IT Tower 1층 109호 (상암동)",서울특별시 마포구 상암동  1590번지  상암 IT Tower 1층-109,20240213,직권말소,법 제37조 7항,2019.10.31. 사업자등록폐업
20240214,20210069275,망원식당,"서울특별시 마포구 망원로4길 3, 1층 (망원동)",서울특별시 마포구 망원동  416번지 14호  ,20240213,직권말소,법 제37조 7항,2023.8.31. 사업자등록폐업
20240214,20210070573,비손더(BESONDER),"서울특별시 마포구 성미산로 161, 1층 (연남동)",서울특별시 마포구 연남동  240번지 6호  ,20240213,직권말소,법 제37조 7항,2023.7.21. 사업자등록폐업
20240229,20110069451,봉추찜닭(상암점),"서울특별시 마포구 월드컵북로 396, (상암동,누리꿈스퀘어지1층1031)",서울특별시 마포구 상암동  1605번지  누리꿈스퀘어지1층1031,20240213,직권말소,법 제37조 7항,2021.12.31. 사업자등록폐업
20240229,20190070171,크리스가든,"서울특별시 마포구 와우산로17길 19-22, 3층 (서교동)",서울특별시 마포구 서교동  408번지 17호  ,20240213,직권말소,법 제37조 7항,2022.06.13. 사업자등록폐업
20240229,20150070553,케이지365(KAGE365),"서울특별시 마포구 와우산로3길 21, (상수동, 지1층일부)",서울특별시 마포구 상수동  337번지 2호  지1층일부,20240213,직권말소,법 제37조 7항,2022.12.31. 사업자등록폐업
20240229,20220085200,뭉칫돈,"서울특별시 마포구 홍익로5안길 16, 2층 (서교동)",서울특별시 마포구 서교동  355번지 21호  ,20240213,직권말소,법 제37조 7항,2023.12.31. 사업자등록폐업
20240329,20240097368,호돌이 호프,"서울특별시 마포구 월드컵북로2길 80, 1,2층 (동교동)",서울특별시 마포구 동교동  155번지 19호  ,20240301,시정명령,"법 제71조, 법 제74조 및 법 제75조",무신고 옥외영업
20240516,20230093369,저지(Jersey),"서울특별시 마포구 어울마당로 33, B101호 (합정동)",서울특별시 마포구 합정동  410번지 1호  ,20240403,시정명령,법 제71조,서울특별시 마포구 객석에서 춤을 추는 행위가 허용되는 일반음식점의 운영에 관한 조례 위반 - 2024년 1분기 안전시설등 세부점검표 미제출
20240524,20230092373,미미상회,"서울특별시 마포구 와우산로32길 31-6, 이끼 1층 (동교동)",서울특별시 마포구 동교동  188번지 24호  이끼,20240409,시정명령,"법 제71조, 법 제74조 및 법 제75조",영업장의 면적을 변경하고 변경신고를 하지 아니한 경우(무신고 옥외영업)
20240611,20240097135,토리아에즈공덕역점,"서울특별시 마포구 백범로 152, 공덕파크자이 201동 1층 17호 (공덕동, 공덕파크자이)",서울특별시 마포구 공덕동  476번지  공덕파크자이,20240418,시정명령,"법 제71조, 법 제74조 및 법 제75조",8. 법 제36조 또는 법 제37조를 위반한 경우 - 다. 영업장의 면적을 변경하고 변경신고를 하지 아니한 경우로써 옥외(영업장 앞)에서의 무신고 옥외영업
20240618,20220085399,핵밥 홍대점,"서울특별시 마포구 잔다리로6길 40-6, 1층 (서교동)",서울특별시 마포구 서교동  366번지 13호  ,20240521,시정명령,"법 제71조, 법 제72조 및 법 제75조",제공된 음식 내에 이물혼입(습기제거제)
20240703,20230093550,이너커피(Iner coffee),"서울특별시 마포구 백범로 152, 공덕파크자이 102동 1층 23,24호 (공덕동, 공덕파크자이)",서울특별시 마포구 공덕동  476번지  공덕파크자이,20240509,시정명령(24.7.3~25.7.2),"법 제71조, 법 제74조 및 법 제75조",옥외영업(1차)
20240703,20240097094,크리핀(KRYPIN),"서울특별시 마포구 백범로 152, 102동 1층 1호 (공덕동, 공덕파크자이)",서울특별시 마포구 공덕동  476번지  공덕파크자이,20240509,시정명령,"법 제71조, 법 제74조 및 법 제75조",옥외영업(1차)
20240703,20240097542,스테이웰 카페,"서울특별시 마포구 백범로 152, 101동 1층 12호 (공덕동, 공덕파크자이)",서울특별시 마포구 공덕동  476번지  공덕파크자이,20240509,시정명령,"법 제71조, 법 제74조 및 법 제75조",옥외영업(1차)
20240705,20230092142,카브아뱅(CAVE A VIN),"서울특별시 마포구 백범로 152, 102동 1층 22호 (공덕동, 공덕파크자이)",서울특별시 마포구 공덕동  476번지  공덕파크자이,20240426,시정명령,"법 제71조, 법 제74조 및 법 제75조",식품위생법 시행규칙 제89조(행정처분의 기준) 별표 23 II 개별기준 10. 법 제36조 및 법 제37조를 위반한 경우 다. 영업장의 면적을 변경하고 변경신고를 하지 아니한 경우
