manage_id,permission_date,legacy_address,address,store_name
3130000-101-2020-00864,2020.10.26,서울특별시 마포구 염리동 157-3 참진빌딩 ,"서울특별시 마포구 백범로 134, 참진빌딩 1층 (염리동)",킹콩부대찌개 마포 대흥 오남매행복점
3130000-101-2020-00868,2020.10.27,서울특별시 마포구 성산동 135-31 ,"서울특별시 마포구 모래내로7길 28, 1층 (성산동)",감성카츠
3130000-101-2020-00870,2020.10.28,서울특별시 마포구 동교동 154-2 ,"서울특별시 마포구 양화로21길 17, 2층 (동교동)",빌보드 게임카페
3130000-101-2020-00873,2020.10.29,서울특별시 마포구 중동 238 ,"서울특별시 마포구 성암로3길 14, 1층 일부호 (중동)",마루
3130000-101-2020-00874,2020.10.29,서울특별시 마포구 공덕동 463 마포현대하이엘 ,"서울특별시 마포구 마포대로 173, 마포현대하이엘 1층 110호 (공덕동)",카페 모아나
3130000-101-2020-00878,2020.10.30,서울특별시 마포구 망원동 422-27 메디움 M ,"서울특별시 마포구 포은로 117, 메디움 M 1층 1-1호 (망원동)",형제 부타동 망원
3130000-101-2020-00881,2020.10.30,서울특별시 마포구 연남동 566-60 ,"서울특별시 마포구 연남로3길 7, 지하1층 101호 (연남동)",청주한식
3130000-101-2020-00893,2020.11.3,서울특별시 마포구 동교동 166-14 동교동 스타피카소 ,"서울특별시 마포구 양화로 176, 동교동 스타피카소 지2층 B2039호 (동교동)",M 커피
3130000-101-2020-00894,2020.11.3,서울특별시 마포구 도화동 181-14 ,"서울특별시 마포구 도화길 45-1, 3층 (도화동)",머구리
3130000-101-2020-00895,2020.11.4,서울특별시 마포구 합정동 412-26 ,"서울특별시 마포구 양화로6길 50, 2층 (합정동)",Sunkitchen_Seoul(썬키친)
3130000-101-2020-00896,2020.11.4,서울특별시 마포구 망원동 414-27 국일빌딩 ,"서울특별시 마포구 포은로8길 32, 국일빌딩 1층 (망원동)",포트레이트 커피바
3130000-101-2020-00898,2020.11.4,서울특별시 마포구 연남동 228-21 ,"서울특별시 마포구 동교로 264, 4층 (연남동)",Amare Tutti(아마레뚜띠)
3130000-101-2020-00899,2020.11.4,서울특별시 마포구 상암동 14-12 ,"서울특별시 마포구 월드컵북로48길 32, 지층 (상암동)",디제이쭌(DJ 쭌)
3130000-101-2020-00900,2020.11.5,서울특별시 마포구 서교동 444-9 ,"서울특별시 마포구 월드컵로 40, 1층 101호 (서교동)",장수멸치국수
3130000-101-2020-00901,2020.11.5,서울특별시 마포구 용강동 40-5 ,"서울특별시 마포구 토정로 315, 3층 3호 (용강동)",안(安)
3130000-101-2020-00903,2020.11.5,서울특별시 마포구 서교동 399-23 ,"서울특별시 마포구 양화로6길 65, 2층 (서교동)",세부인보드카
3130000-101-2020-00904,2020.11.5,서울특별시 마포구 합정동 448-18 ,"서울특별시 마포구 동교로8길 39, 1층 (합정동)",아로(aro)
3130000-101-2020-00906,2020.11.5,서울특별시 마포구 서교동 346-53 ,"서울특별시 마포구 홍익로2길 13, 2층 (서교동)",빙츄르
3130000-101-2020-00907,2020.11.5,서울특별시 마포구 서교동 442-20 더 하우스 예당 ,"서울특별시 마포구 성미산로2길 49, 1층 101호 (서교동, 더 하우스 예당)",젤로샷 케이크
3130000-101-2020-00910,2020.11.6,서울특별시 마포구 상수동 86-53 ,"서울특별시 마포구 와우산로 59, 1,2층 (상수동)",snob(스노브)
3130000-101-2020-00911,2020.11.9,서울특별시 마포구 도화동 538 성지빌딩 ,"서울특별시 마포구 큰우물로 75, 성지빌딩 지하1층 27호 (도화동)",소나무푸드
3130000-101-2020-00914,2020.11.9,서울특별시 마포구 서교동 400-24,"서울특별시 마포구 독막로7길 21, 1층 (서교동)",천사곱창 합정점
3130000-101-2020-00916,2020.11.9,서울특별시 마포구 상수동 146-19 ,"서울특별시 마포구 와우산로 39, 1층 (상수동)",수요치킨
3130000-101-2020-00918,2020.11.9,서울특별시 마포구 망원동 479-94 ,"서울특별시 마포구 망원로11길 27-38, 1층 일부호 (망원동)",샐러드하임
3130000-101-2020-00920,2020.11.10,서울특별시 마포구 서교동 352-26 ,"서울특별시 마포구 양화로15길 12, 지하1층 (서교동)",찬란한쉼터
3130000-101-2020-00922,2020.11.10,서울특별시 마포구 합정동 369-4 ,"서울특별시 마포구 토정로 27, 1층 (합정동)",피공일
3130000-101-2020-00924,2020.11.11,서울특별시 마포구 중동 242 ,"서울특별시 마포구 성암로3가길 6, 지층 (중동)",껍닭 야식
3130000-101-2020-00927,2020.11.12,서울특별시 마포구 구수동 2-3 서강빌딩 ,"서울특별시 마포구 창전로 60, 서강빌딩 1층 104,105호 (구수동)",도미노피자 신촌점
3130000-101-2020-00928,2020.11.13,서울특별시 마포구 상암동 21-3 해나리빌딩 ,"서울특별시 마포구 매봉산로2길 45, 해나리빌딩 1층 (상암동)",황가네 칼국수
3130000-101-2020-00929,2020.11.13,서울특별시 마포구 망원동 399-36 ,"서울특별시 마포구 포은로 87, 지1층 (망원동)",슬라브
3130000-101-2020-00930,2020.11.13,서울특별시 마포구 서교동 333-37 ,"서울특별시 마포구 와우산로29마길 7-8, 1층 101호 (서교동)",불향쭈꾸미
3130000-101-2020-00933,2020.11.13,서울특별시 마포구 상수동 327-7 규민빌딩 ,"서울특별시 마포구 와우산로 23, 규민빌딩 지층 (상수동)",처갓집양념치킨 홍대점
3130000-101-2020-00935,2020.11.16,서울특별시 마포구 연남동 260-46 ,"서울특별시 마포구 동교로32길 7, 1층 (연남동)",풀뜯는돼지
3130000-101-2020-00938,2020.11.17,서울특별시 마포구 대흥동 328-17 더해피 II ,"서울특별시 마포구 독막로38길 10, 더해피 II 지하1층 (대흥동)",위험한피자
3130000-101-2020-00940,2020.11.17,서울특별시 마포구 공덕동 470 래미안 공덕5차 ,"서울특별시 마포구 마포대로 167, 상가동 지5층 106호 (공덕동, 래미안 공덕5차)",우동 이요이요
3130000-101-2020-00944,2020.11.17,서울특별시 마포구 창전동 2-31 ,"서울특별시 마포구 서강로11길 18, 1층 103호 (창전동)",한사바리해장국
3130000-101-2020-00945,2020.11.17,서울특별시 마포구 도화동 201-1 ,"서울특별시 마포구 도화길 14-1, 지하1층 (도화동)",홍도
3130000-101-2020-00949,2020.11.18,서울특별시 마포구 아현동 85-835 ,"서울특별시 마포구 환일길 43, 1층 (아현동)",환일 골뱅이
3130000-101-2020-00950,2020.11.19,서울특별시 마포구 서교동 325-26 ,"서울특별시 마포구 와우산로 156, 1층 (서교동)",오복명가
3130000-101-2020-00952,2020.11.20,서울특별시 마포구 동교동 204-34 ,"서울특별시 마포구 월드컵북로4길 59, 지층 (동교동)",옹시미
